#fasta	id	name	genus	flags
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_984572965.1_GPT25-06_genomic.fna.gz	staaur	Staphylococcus aureus (firmicutes)	Staphylococcus	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_058344415.1_ASM5834441v1_genomic.fna.gz	staepi	Staphylococcus epidermidis (firmicutes)	Staphylococcus	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_057584965.1_ASM5758496v1_genomic.fna.gz	entfae	Enterococcus faecalis (firmicutes)	Enterococcus	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_059696715.1_ASM5969671v1_genomic.fna.gz	entfae	Enterococcus faecium (firmicutes)	Enterococcus	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_987537325.1_NCTC13148_genomic.fna.gz	esccol	Escherichia coli (E. coli)	Escherichia	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_984572925.1_GPT25-01_genomic.fna.gz	klepne	Klebsiella pneumoniae (enterobacteria)	Klebsiella	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_987499935.1_NCTC12903_genomic.fna.gz	pseaer	Pseudomonas aeruginosa (g-proteobacteria)	Pseudomonas	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_987538625.1_NCTC13420_genomic.fna.gz	acibau	Acinetobacter baumannii (g-proteobacteria)	Acinetobacter	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_060038975.1_ASM6003897v1_genomic.fna.gz	salent	Salmonella enterica subsp. enterica serovar Rissen (enterobacteria)	Salmonella	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_059725205.1_ASM5972520v1_genomic.fna.gz	strpyo	Streptococcus pyogenes (firmicutes)	Streptococcus	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_987113185.1_NCTC14143_genomic.fna.gz	strpne	Streptococcus pneumoniae (firmicutes)	Streptococcus	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_059731905.1_ASM5973190v1_genomic.fna.gz	straga	Streptococcus agalactiae (firmicutes)	Streptococcus	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_058172445.1_ASM5817244v1_genomic.fna.gz	haeinf	Haemophilus influenzae (g-proteobacteria)	Haemophilus	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_978047225.1_UMASS-DGI_9_genomic.fna.gz	neigon	Neisseria gonorrhoeae (b-proteobacteria)	Neisseria	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_057980175.1_ASM5798017v1_genomic.fna.gz	neimen	Neisseria meningitidis (b-proteobacteria)	Neisseria	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_984572945.1_GPT25-04_genomic.fna.gz	camjej	Campylobacter jejuni (e-proteobacteria)	Campylobacter	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_054790975.1_ASM5479097v1_genomic.fna.gz	clodif	Clostridioides difficile (firmicutes)	Clostridioides	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_051905015.1_ASM5190501v1_genomic.fna.gz	bacfra	Bacteroides fragilis (CFB group bacteria)	Bacteroides	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_056818925.1_ASM5681892v1_genomic.fna.gz	fusnuc	Fusobacterium nucleatum subsp. nucleatum (fusobacteria)	Fusobacterium	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_051549835.1_ASM5154983v1_genomic.fna.gz	cordip	Corynebacterium diphtheriae (high G+C Gram-positive bacteria)	Corynebacterium	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_059718255.1_ASM5971825v1_genomic.fna.gz	lismon	Listeria monocytogenes (firmicutes)	Listeria	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_982525085.1_NRS2109_genomic.fna.gz	bacsub	Bacillus subtilis (firmicutes)	Bacillus	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_047020645.1_ASM4702064v1_genomic.fna.gz	morcat	Moraxella catarrhalis (g-proteobacteria)	Moraxella	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_059740195.1_ASM5974019v1_genomic.fna.gz	helpyl	Helicobacter pylori (e-proteobacteria)	Helicobacter	0
/Users/amulya/Documents/openpathogen/hv/genomes_ref/GCF_059717755.1_ASM5971775v1_genomic.fna.gz	myctub	Mycobacterium tuberculosis variant bovis (high G+C Gram-positive bacteria)	Mycobacterium	0
