0	staaur	Staphylococcus aureus (firmicutes)	Staphylococcus	2842304	139930	0
1	staepi	Staphylococcus epidermidis (firmicutes)	Staphylococcus	2425999	118229	0
2	entfae	Enterococcus faecalis (firmicutes)	Enterococcus	2946070	145259	0
3	entfae	Enterococcus faecium (firmicutes)	Enterococcus	3034551	143278	0
4	esccol	Escherichia coli (E. coli)	Escherichia	5180748	248684	0
5	klepne	Klebsiella pneumoniae (enterobacteria)	Klebsiella	5912401	286921	0
6	pseaer	Pseudomonas aeruginosa (g-proteobacteria)	Pseudomonas	6839827	338225	0
7	acibau	Acinetobacter baumannii (g-proteobacteria)	Acinetobacter	4000591	195146	0
8	salent	Salmonella enterica subsp. enterica serovar Rissen (enterobacteria)	Salmonella	4967542	244791	0
9	strpyo	Streptococcus pyogenes (firmicutes)	Streptococcus	1785061	87560	0
10	strpne	Streptococcus pneumoniae (firmicutes)	Streptococcus	2110936	101290	0
11	straga	Streptococcus agalactiae (firmicutes)	Streptococcus	2139071	104926	0
12	haeinf	Haemophilus influenzae (g-proteobacteria)	Haemophilus	1942768	94944	0
13	neigon	Neisseria gonorrhoeae (b-proteobacteria)	Neisseria	2162809	102337	0
14	neimen	Neisseria meningitidis (b-proteobacteria)	Neisseria	2254705	105169	0
15	camjej	Campylobacter jejuni (e-proteobacteria)	Campylobacter	1847776	88808	0
16	clodif	Clostridioides difficile (firmicutes)	Clostridioides	4168273	204275	0
17	bacfra	Bacteroides fragilis (CFB group bacteria)	Bacteroides	5478442	269618	0
18	fusnuc	Fusobacterium nucleatum subsp. nucleatum (fusobacteria)	Fusobacterium	2202885	107774	0
19	cordip	Corynebacterium diphtheriae (high G+C Gram-positive bacteria)	Corynebacterium	2505890	122940	0
20	lismon	Listeria monocytogenes (firmicutes)	Listeria	3078177	152529	0
21	bacsub	Bacillus subtilis (firmicutes)	Bacillus	4235667	208685	0
22	morcat	Moraxella catarrhalis (g-proteobacteria)	Moraxella	1902860	93844	0
23	helpyl	Helicobacter pylori (e-proteobacteria)	Helicobacter	1648327	81089	0
24	myctub	Mycobacterium tuberculosis variant bovis (high G+C Gram-positive bacteria)	Mycobacterium	4340782	214804	0
25	hypv_spike	synthetic spike-in (QC)	HypvSpike	100000	5038	1
